,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MESNIER Thomas,0.0,0.0,17384.0,37296.0,44230.0,56906.0,62559.0,37699.0,0.0,0.0,0.0
METTE Sophie,0.0,0.0,0.0,15225.0,18270.0,18270.0,0.0,0.0,2709.0,0.0,0.0
MEUNIER Frédérique,0.0,0.0,19735.0,30722.0,56920.0,68658.0,71032.0,35544.0,0.0,0.0,0.0
MEYNIER-MILLEFERT Marjolaine,0.0,0.0,18362.0,15131.0,20288.0,24217.0,48354.0,18993.0,0.0,0.0,0.0
MICHEL Monica,0.0,112000.0,113000.0,115000.0,118000.0,120000.0,125000.0,65000.0,0.0,0.0,0.0
MICHEL-KLEISBAUER Philippe,0.0,0.0,12000.0,1526.0,1486.0,1863.0,4332.0,0.0,0.0,0.0,0.0
MICHELS Thierry,0.0,129236.0,102257.0,110531.0,111540.0,109141.0,115163.0,62996.0,0.0,0.0,0.0
MIGNOLA Patrick,0.0,140808.0,158316.0,191471.0,242250.0,188042.0,255769.0,113555.0,0.0,0.0,0.0
MILLIENNE Bruno,0.0,102333.0,100006.0,102515.0,108173.0,108649.0,145469.0,79462.0,0.0,0.0,0.0
MINOT Maxime,0.0,15595.0,16255.0,16849.0,27132.0,30313.0,36591.0,17641.0,0.0,0.0,0.0
MIRALLÈS Patricia,0.0,20000.0,20000.0,20000.0,20000.0,40200.0,45600.0,18830.0,0.0,0.0,0.0
MIS Jean-Michel,0.0,41050.0,42094.0,42808.0,43799.0,44559.0,45776.0,23499.0,0.0,0.0,0.0
MOLAC Paul,0.0,0.0,34701.0,65574.0,65253.0,64616.0,85142.0,46372.0,0.0,0.0,0.0
MÖRCH Sandrine,0.0,0.0,35000.0,40000.0,44362.0,60057.0,54694.0,13832.0,0.0,0.0,0.0
MOREAU Jean-Baptiste,0.0,12000.0,18200.0,24600.0,25200.0,25500.0,24500.0,12100.0,0.0,0.0,0.0
MOREL-À-L'HUISSIER Pierre,0.0,0.0,-2297.0,-2336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORENAS Adrien,0.0,0.0,0.0,9621.0,0.0,11360.0,0.0,7700.0,0.0,0.0,0.0
MOTIN Cendra,0.0,0.0,25000.0,28000.0,29000.0,30000.0,45900.0,35800.0,0.0,0.0,0.0
MOUTCHOU Naïma,0.0,51600.0,60000.0,72500.0,88000.0,96000.0,96000.0,36000.0,0.0,0.0,0.0
MUSCHOTTI Cécile,0.0,0.0,6767.0,20106.0,21279.0,14168.0,9034.0,16744.0,0.0,0.0,0.0
NADOT Sébastien,0.0,0.0,0.0,0.0,15571.0,36061.0,32687.0,20100.0,0.0,0.0,0.0
NAEGELEN Christophe,0.0,0.0,0.0,91419.0,82770.0,109702.0,138827.0,141397.0,143340.0,157528.0,0.0
NILOR Jean-Philippe,0.0,0.0,0.0,0.0,0.0,0.0,28341.0,12755.0,0.0,0.0,0.0
NOGAL Mickaël,0.0,0.0,2715.0,13338.0,32993.0,22810.0,45000.0,7575.0,0.0,0.0,0.0
NURY Jérôme,0.0,0.0,0.0,0.0,35400.0,62474.0,62000.0,30942.0,0.0,0.0,0.0
O Delphine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O'PETIT Claire,0.0,0.0,13840.0,13431.0,14177.0,14949.0,13988.0,0.0,0.0,0.0,0.0
OBONO Danièle,0.0,0.0,0.0,0.0,5604.0,25929.0,21442.0,10885.0,0.0,0.0,0.0
OPPELT Valérie,0.0,24227.0,30495.0,31847.0,40853.0,34631.0,0.0,0.0,0.0,0.0,0.0
ORPHELIN Matthieu,0.0,38395.0,39757.0,54060.0,46098.0,59571.0,71173.0,30455.0,0.0,0.0,0.0
OSSON Catherine,0.0,0.0,30000.0,30000.0,34851.0,54900.0,63412.0,32650.0,0.0,0.0,0.0
PAHUN Jimmy,0.0,61050.0,52400.0,0.0,0.0,23480.0,32890.0,7660.0,0.0,0.0,0.0
PAJOT Ludovic,0.0,0.0,0.0,0.0,0.0,15396.0,30532.0,14854.0,0.0,0.0,0.0
PALUSZKIEWICZ Xavier,0.0,0.0,38000.0,38900.0,40180.0,57400.0,58600.0,30500.0,0.0,0.0,0.0
PANCHER Bertrand,0.0,0.0,25313.0,91471.0,114753.0,120162.0,118427.0,53723.0,0.0,0.0,0.0
PANONACLE Sophie,0.0,13575.0,13575.0,17581.0,2683.0,0.0,0.0,0.0,0.0,0.0,0.0
PANOT Mathilde,0.0,0.0,0.0,0.0,15200.0,22800.0,20800.0,10200.0,0.0,0.0,0.0
PARIGI Jean-François,0.0,155692.0,155692.0,155692.0,220530.0,254596.0,186188.0,93092.0,0.0,0.0,0.0
PARIS Didier,0.0,187500.0,188400.0,197000.0,201573.0,234500.0,240800.0,161300.0,0.0,0.0,0.0
PARK Zivka,0.0,40500.0,41300.0,42800.0,42800.0,45823.0,45823.0,46877.0,0.0,0.0,0.0
PAUGET Éric,0.0,38280.0,38192.0,57136.0,83498.0,112532.0,94912.0,46728.0,0.0,0.0,0.0
PAU-LANGEVIN George,0.0,0.0,1266.0,75897.0,73349.0,72004.0,53021.0,0.0,0.0,0.0,0.0
PELLOIS Hervé,0.0,0.0,32541.0,29113.0,7856.0,0.0,0.0,0.0,0.0,0.0,0.0
PELTIER Guillaume,0.0,0.0,0.0,28500.0,167179.0,126724.0,199284.0,160290.0,0.0,0.0,0.0
PEREA Alain,0.0,0.0,61067.0,63895.0,82891.0,89609.0,90496.0,45573.0,0.0,0.0,0.0
PERROT Patrice,0.0,47723.0,129819.0,159188.0,140095.0,163891.0,171555.0,29700.0,0.0,0.0,0.0
PERRUT Bernard,0.0,0.0,0.0,0.0,26197.0,27474.0,27250.0,14683.0,0.0,0.0,0.0
PERSON Pierre,0.0,0.0,0.0,0.0,7800.0,15500.0,35200.0,14601.0,0.0,0.0,0.0
PETEL Anne-Laurence,0.0,39887.0,41355.0,43159.0,43850.0,44583.0,44647.0,17581.0,0.0,0.0,0.0
PETIT Frédéric,0.0,94120.0,105360.0,106180.0,118410.0,163220.0,319660.0,0.0,0.0,0.0,0.0
PETIT Maud,0.0,0.0,0.0,6100.0,27309.0,29965.0,30713.0,13877.0,0.0,0.0,0.0
PETIT Valérie,0.0,56297.0,63333.0,50933.0,51902.0,56068.0,45669.0,47932.0,0.0,0.0,0.0
PEU Stéphane,0.0,0.0,42008.0,42008.0,42008.0,42008.0,42008.0,19666.0,0.0,0.0,0.0
PEYROL Bénédicte,0.0,0.0,0.0,6971.0,24573.0,16336.0,30028.0,23251.0,0.0,0.0,0.0
PEYRON Michèle,0.0,0.0,0.0,0.0,0.0,26600.0,37200.0,25000.0,0.0,0.0,0.0
PICHEREAU Damien,0.0,0.0,11796.0,21144.0,19634.0,22974.0,20433.0,7176.0,0.0,0.0,0.0
PIETRASZEWSKI Laurent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PINEL Sylvia,0.0,0.0,16576.0,73156.0,72685.0,72004.0,51800.0,21965.0,0.0,0.0,0.0
PIRES BEAUNE Christine,0.0,54879.0,53536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIRON Béatrice,0.0,0.0,18000.0,24000.0,27000.0,34000.0,34000.0,13349.0,0.0,0.0,0.0
PITOLLAT Claire,0.0,0.0,34314.0,39264.0,63004.0,53513.0,53597.0,31204.0,0.0,0.0,0.0
POLETTI Bérengère,0.0,26500.0,26500.0,26500.0,26500.0,21624.0,21614.0,13567.0,22984.0,7639.0,0.0
POMPILI Barbara,0.0,0.0,0.0,0.0,0.0,0.0,85506.0,39511.0,0.0,0.0,0.0
PONT Jean-Pierre,0.0,98327.0,86157.0,87547.0,82933.0,91326.0,92521.0,19580.0,0.0,0.0,0.0
PORTARRIEU Jean-François,0.0,0.0,0.0,0.0,54000.0,54000.0,57600.0,33600.0,0.0,0.0,0.0
POTIER Dominique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POTTERIE Benoit,0.0,74249.0,149850.0,217001.0,151753.0,117968.0,136320.0,70000.0,42000.0,0.0,0.0
POUDROUX Jean-Luc,0.0,0.0,0.0,0.0,360.0,360.0,360.0,320.0,0.0,0.0,0.0
POUEYTO Josy,0.0,0.0,25000.0,25232.0,45888.0,74116.0,75947.0,36663.0,0.0,0.0,0.0
POULLIAT Éric,0.0,0.0,0.0,0.0,25867.0,23773.0,24368.0,13932.0,0.0,0.0,0.0
POUZYREFF Natalia,0.0,0.0,0.0,0.0,18997.0,13115.0,15513.0,12100.0,0.0,0.0,0.0
PRADIÉ Aurélien,0.0,0.0,27607.0,49998.0,60217.0,59228.0,64708.0,43435.0,0.0,0.0,0.0
PROVENDIER Florence,0.0,0.0,0.0,62621.0,67647.0,62976.0,65644.0,83796.0,40532.0,0.0,0.0
PRUD'HOMME Loïc,0.0,0.0,23393.0,24498.0,20428.0,20273.0,20358.0,12531.0,0.0,0.0,0.0
PUEYO Joaquim,0.0,0.0,42405.0,74113.0,73857.0,74053.0,73677.0,46541.0,0.0,0.0,0.0
PUPPONI François,0.0,0.0,0.0,0.0,22592.0,22526.0,21924.0,28001.0,20048.0,0.0,0.0
QUATENNENS Adrien,0.0,0.0,15206.0,20977.0,25021.0,22024.0,21696.0,11497.0,0.0,0.0,0.0
QUENTIN Didier,0.0,0.0,30391.0,55010.0,67775.0,67628.0,67300.0,33660.0,0.0,0.0,0.0
QUESTEL Bruno,0.0,58300.0,58300.0,60900.0,60600.0,57500.0,54000.0,42000.0,21000.0,0.0,0.0
RABAULT Valérie,0.0,0.0,35182.0,67322.0,67666.0,64791.0,64711.0,35000.0,0.0,0.0,0.0
RACON-BOUZON Cathy,0.0,0.0,19452.0,22231.0,22388.0,44088.0,53595.0,15580.0,0.0,0.0,0.0
RAMADIER Alain,0.0,39519.0,41445.0,42720.0,58768.0,64911.0,84196.0,67057.0,0.0,0.0,0.0
RAMASSAMY Nadia,0.0,0.0,0.0,0.0,0.0,4401.0,300445.0,10974.0,0.0,0.0,0.0
RAMOS Richard,0.0,8083.0,7422.0,5972.0,2142.0,40899.0,40628.0,26600.0,0.0,0.0,0.0
RAPHAN Pierre-Alain,0.0,0.0,0.0,49543.0,55599.0,40358.0,111566.0,30000.0,0.0,0.0,0.0
RATENON Jean-Hugues,0.0,0.0,0.0,0.0,5224.0,13305.0,13699.0,6934.0,0.0,0.0,0.0
RAUCH Isabelle,0.0,46949.0,49255.0,47231.0,34772.0,52128.0,51237.0,20789.0,0.0,0.0,0.0
REBEYROTTE Rémy,0.0,73200.0,78000.0,94344.0,94344.0,108720.0,78000.0,78000.0,0.0,0.0,0.0
REDA Robin,0.0,0.0,0.0,0.0,12527.0,19787.0,54349.0,37664.0,0.0,0.0,0.0
REISS Frédéric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REITZER Jean-Luc,0.0,0.0,40360.0,69207.0,92867.0,97170.0,96907.0,50377.0,0.0,0.0,0.0
RENSON Hugues,0.0,0.0,77500.0,106296.0,130176.0,128713.0,137246.0,104187.0,0.0,0.0,0.0
RESSIGUIER Muriel,0.0,18879.0,19280.0,20561.0,18841.0,21289.0,44701.0,21286.0,0.0,0.0,0.0
REYNÈS Bernard,0.0,0.0,26755.0,27830.0,31024.0,32465.0,32151.0,5999.0,0.0,0.0,0.0
RILHAC Cécile,0.0,34895.0,34305.0,40159.0,40853.0,41326.0,42700.0,22600.0,0.0,0.0,0.0
RIOTTON Véronique,0.0,33549.0,33071.0,34187.0,34107.0,23170.0,21600.0,10800.0,0.0,0.0,0.0
RIST Stéphanie,0.0,64625.0,68300.0,69255.0,78183.0,78167.0,68877.0,61320.0,0.0,0.0,0.0
RIXAIN Marie-Pierre,0.0,45427.0,72550.0,96341.0,148780.0,99827.0,19863.0,31039.0,0.0,0.0,0.0
ROBERT Mireille,0.0,0.0,31942.0,32910.0,33074.0,33304.0,35696.0,17328.0,0.0,0.0,0.0
ROLLAND Vincent,0.0,91185.0,87007.0,81306.0,111169.0,113421.0,116543.0,63896.0,0.0,0.0,0.0
ROMEIRO DIAS Laëtitia,0.0,2500.0,2500.0,3000.0,3000.0,3500.0,3500.0,3500.0,0.0,0.0,0.0
ROSEREN Xavier,0.0,28200.0,28000.0,29000.0,52590.0,62450.0,59450.0,38390.0,0.0,0.0,0.0
ROSSI Laurianne,0.0,0.0,13095.0,48986.0,45288.0,48980.0,40833.0,19940.0,0.0,0.0,0.0
ROUILLARD Gwendal,0.0,0.0,0.0,0.0,2440.0,2440.0,2440.0,2440.0,0.0,0.0,0.0
ROUSSEL Cédric,0.0,42910.0,44508.0,45055.0,39317.0,46374.0,50310.0,22303.0,0.0,0.0,0.0
ROUSSEL Fabien,0.0,0.0,16900.0,36000.0,42030.0,48269.0,49631.0,6050.0,0.0,0.0,0.0
RUBIN Sabine,0.0,0.0,0.0,36329.0,32045.0,31941.0,31905.0,48800.0,0.0,0.0,0.0
RUDIGOZ Thomas,0.0,0.0,8806.0,4696.0,30910.0,69642.0,70420.0,35617.0,0.0,0.0,0.0
RUFFIN François,0.0,0.0,0.0,13891.0,52481.0,0.0,37804.0,83566.0,150070.0,0.0,0.0
RUPIN Pacôme,0.0,0.0,3666.0,1750.0,25374.0,16100.0,29469.0,19372.0,0.0,0.0,0.0
SADDIER Martial,0.0,0.0,48445.0,48471.0,47958.0,47307.0,45980.0,36694.0,0.0,0.0,0.0
SAGE Maina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAINT-MARTIN Laurent,0.0,0.0,34000.0,52000.0,54000.0,62000.0,142000.0,80000.0,0.0,0.0,0.0
SAINT-PAUL Laetitia,0.0,0.0,35000.0,35000.0,35000.0,18000.0,35000.0,18000.0,0.0,0.0,0.0
SANQUER Nicole,0.0,45252.0,45252.0,50615.0,60336.0,75019.0,75019.0,112956.0,134112.0,0.0,0.0
SARLES Nathalie,0.0,12000.0,35520.0,35520.0,19700.0,14000.0,16000.0,8000.0,0.0,0.0,0.0
SAULIGNAC Hervé,0.0,44705.0,78667.0,103225.0,104488.0,103133.0,97653.0,48109.0,0.0,0.0,0.0
SAVATIER Jacques,0.0,0.0,202245.0,206917.0,214430.0,247132.0,248979.0,0.0,0.0,0.0,0.0
SAVIGNAT Antoine,0.0,0.0,0.0,35040.0,55391.0,53733.0,128001.0,16504.0,1531.0,0.0,0.0
SCHELLENBERGER Raphaël,0.0,0.0,0.0,10000.0,37800.0,46500.0,51000.0,25200.0,0.0,0.0,0.0
SEMPASTOUS Jean-Bernard,0.0,41045.0,44294.0,67572.0,76819.0,73140.0,72393.0,35348.0,0.0,0.0,0.0
SERMIER Jean-Marie,0.0,26334.0,26233.0,23791.0,27542.0,27779.0,27191.0,12828.0,0.0,0.0,0.0
SERVA Olivier,0.0,170000.0,180000.0,192000.0,194400.0,198500.0,211500.0,161500.0,0.0,0.0,0.0
SERVILLE Gabriel,0.0,0.0,29101.0,68160.0,86403.0,95520.0,95928.0,67658.0,0.0,0.0,0.0
SIMIAN Benoit,0.0,2264.0,30150.0,32679.0,51744.0,40046.0,60220.0,25627.0,0.0,0.0,0.0
SOLÈRE Thierry,0.0,0.0,303435.0,308885.0,126255.0,125822.0,160392.0,193905.0,15286.0,0.0,0.0
SOMMER Denis,0.0,70389.0,70234.0,68105.0,65294.0,61860.0,59753.0,25200.0,0.0,0.0,0.0
SON-FORGET Joachim,0.0,107742.0,74815.0,79797.0,81403.0,112710.0,130245.0,60733.0,36200.0,0.0,0.0
SORRE Bertrand,0.0,46182.0,45656.0,47541.0,45582.0,59361.0,46498.0,15072.0,0.0,0.0,0.0
STRAUMANN Éric,0.0,0.0,127350.0,125691.0,123431.0,161589.0,164125.0,84622.0,0.0,0.0,0.0
STUDER Bruno,0.0,23807.0,20396.0,10738.0,34187.0,34785.0,35646.0,17500.0,0.0,0.0,0.0
SYLLA Sira,0.0,0.0,0.0,0.0,26599.0,40853.0,53373.0,21981.0,0.0,0.0,0.0
TABAROT Michèle,0.0,0.0,0.0,0.0,28184.0,30273.0,27893.0,15086.0,5273.0,0.0,0.0
TACHÉ Aurélien,0.0,0.0,27725.0,27098.0,33467.0,63244.0,71401.0,30000.0,0.0,0.0,0.0
TAMARELLE-VERHAEGHE Marie,0.0,54000.0,54000.0,54000.0,54000.0,84000.0,84000.0,52500.0,0.0,0.0,0.0
TAN Buon,0.0,14633.0,101079.0,83878.0,92170.0,84425.0,84013.0,50716.0,0.0,0.0,0.0
TANGUY Liliana,0.0,48527.0,54241.0,55367.0,51124.0,49593.0,50830.0,23295.0,0.0,0.0,0.0
TAQUET Adrien,0.0,0.0,715.0,91566.0,216713.0,348000.0,362630.0,299644.0,142082.0,9480.0,0.0
TAUGOURDEAU Jean-Charles,0.0,0.0,57709.0,112167.0,105661.0,102408.0,102408.0,50477.0,0.0,0.0,0.0
TAURINE Bénédicte,0.0,1760.0,1820.0,1820.0,1820.0,1860.0,1860.0,1860.0,0.0,0.0,0.0
TEISSIER Guy,0.0,0.0,0.0,0.0,26859.0,27257.0,25879.0,14450.0,0.0,0.0,0.0
TERLIER Jean,0.0,57097.0,60198.0,61976.0,51181.0,55352.0,59643.0,21600.0,0.0,0.0,0.0
TESTÉ Stéphane,0.0,0.0,0.0,0.0,0.0,0.0,52029.0,20163.0,0.0,0.0,0.0
THIÉBAUT Vincent,0.0,13149.0,37133.0,42809.0,41263.0,46895.0,49037.0,20772.0,0.0,0.0,0.0
THIÉRIOT Jean-Louis,0.0,0.0,30650.0,28780.0,31760.0,56560.0,65950.0,55026.0,39380.0,0.0,0.0
THILL Agnès,0.0,0.0,17300.0,35401.0,37128.0,38977.0,38742.0,20247.0,0.0,0.0,0.0
THILLAYE Sabine,0.0,0.0,19707.0,22467.0,23737.0,17461.0,19131.0,9000.0,0.0,0.0,0.0
THOMAS Valérie,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,1200.0,0.0,0.0,0.0
THOUROT Alice,0.0,0.0,18409.0,24312.0,31099.0,16142.0,21556.0,26033.0,0.0,0.0,0.0
TIEGNA Huguette,0.0,0.0,0.0,0.0,35000.0,35000.0,36000.0,18500.0,0.0,0.0,0.0
TOLMONT Sylvie,0.0,0.0,0.0,0.0,0.0,3600.0,1612.0,0.0,0.0,0.0,0.0
TOURAINE Jean-Louis,0.0,0.0,0.0,0.0,0.0,0.0,129040.0,0.0,0.0,0.0,0.0
TOURRET Alain,0.0,0.0,85556.0,71156.0,69027.0,64739.0,59466.0,0.0,0.0,0.0,0.0
TOUTUT-PICARD Élisabeth,0.0,0.0,82819.0,92705.0,128296.0,145892.0,145687.0,75179.0,0.0,0.0,0.0
TRASTOUR-ISNART Laurence,0.0,17130.0,28709.0,29698.0,39628.0,39066.0,52397.0,23167.0,0.0,0.0,0.0
TRAVERT Stéphane,0.0,0.0,128426.0,150702.0,150190.0,145356.0,134474.0,175983.0,91463.0,0.0,0.0
TRISSE Nicole,0.0,0.0,45783.0,44312.0,47065.0,48741.0,48282.0,18657.0,0.0,0.0,0.0
TROMPILLE Stéphane,0.0,0.0,23829.0,25659.0,23558.0,21554.0,23207.0,25422.0,0.0,0.0,0.0
TUFFNELL Frédérique,0.0,78915.0,81218.0,82377.0,85096.0,87394.0,88604.0,76232.0,68129.0,0.0,0.0
TURQUOIS Nicolas,0.0,77705.0,82020.0,99206.0,87987.0,83212.0,65184.0,17083.0,0.0,0.0,0.0
UNTERMAIER Cécile,0.0,137130.0,106312.0,55698.0,60214.0,15136.0,0.0,0.0,0.0,0.0,0.0
VAINQUEUR-CHRISTOPHE Hélène,0.0,122876.0,157911.0,168229.0,199766.0,200670.0,198636.0,46957.0,0.0,0.0,0.0
VALENTIN Isabelle,0.0,0.0,22999.0,54249.0,33061.0,32199.0,32648.0,19046.0,0.0,0.0,0.0
VALETTA ARDISSON Alexandra,0.0,27478.0,27478.0,27478.0,33023.0,25872.0,25798.0,14000.0,0.0,0.0,0.0
VALLAUD Boris,0.0,0.0,101720.0,246272.0,336852.0,152717.0,153336.0,99890.0,0.0,0.0,0.0
VANCEUNEBROCK-MIALON Laurence,0.0,27333.0,28552.0,28679.0,25775.0,23389.0,23613.0,11827.0,0.0,0.0,0.0
VATIN Pierre,0.0,0.0,34118.0,34929.0,36504.0,36484.0,38302.0,18290.0,0.0,0.0,0.0
VÉRAN Olivier,0.0,0.0,30500.0,73300.0,73400.0,59500.0,95000.0,42000.0,0.0,0.0,0.0
VERCAMER Francis,0.0,21600.0,21600.0,21600.0,28000.0,28000.0,28000.0,25800.0,15777.0,11777.0,0.0
VERCHÈRE Patrice,0.0,0.0,0.0,0.0,0.0,0.0,31310.0,15655.0,0.0,0.0,0.0
VERDIER-JOUCLAS Marie-Christine,0.0,50337.0,51787.0,50391.0,44649.0,53041.0,53405.0,27597.0,0.0,0.0,0.0
VIALA Arnaud,0.0,33758.0,33625.0,33492.0,40300.0,22604.0,22025.0,10638.0,0.0,0.0,0.0
VIALAY Michel,0.0,42771.0,39141.0,46217.0,46025.0,40462.0,30682.0,22052.0,0.0,0.0,0.0
VICHNIEVSKY Laurence,0.0,113705.0,109700.0,111392.0,111046.0,107650.0,106891.0,57446.0,0.0,0.0,0.0
VICTORY Michèle,0.0,0.0,28716.0,28921.0,31385.0,33517.0,33517.0,42278.0,0.0,0.0,0.0
VIDAL Annie,0.0,0.0,40496.0,44148.0,46719.0,47064.0,51518.0,26708.0,0.0,0.0,0.0
VIGIER Jean-Pierre,0.0,0.0,0.0,23832.0,28212.0,27300.0,27120.0,19548.0,3258.0,0.0,0.0
VIGIER Philippe,0.0,0.0,152200.0,153603.0,144758.0,136972.0,145101.0,47336.0,0.0,0.0,0.0
VIGNAL Patrick,0.0,0.0,0.0,0.0,1701.0,2268.0,2268.0,2268.0,0.0,0.0,0.0
VIGNON Corinne,0.0,0.0,25537.0,52944.0,59384.0,26736.0,26558.0,16134.0,0.0,0.0,0.0
VILLANI Cédric,0.0,133367.0,242538.0,266514.0,248967.0,168374.0,263057.0,179410.0,57540.0,22435.0,0.0
VILLIERS André,0.0,5441.0,53528.0,66145.0,44379.0,65811.0,76637.0,42731.0,0.0,0.0,0.0
VIRY Stéphane,0.0,90000.0,90000.0,90000.0,102210.0,90280.0,86380.0,47640.0,0.0,0.0,0.0
VUILLETET Guillaume,0.0,0.0,59905.0,97854.0,56549.0,38887.0,3000.0,16200.0,0.0,0.0,0.0
WARSMANN Jean-Luc,0.0,19007.0,22808.0,22808.0,22808.0,22821.0,35570.0,18189.0,0.0,0.0,0.0
WASERMAN Sylvain,0.0,195071.0,219658.0,188861.0,211089.0,192367.0,235094.0,142224.0,0.0,0.0,0.0
WOERTH Éric,0.0,19715.0,18179.0,16533.0,20842.0,22836.0,23075.0,11343.0,0.0,0.0,0.0
WONNER Martine,0.0,0.0,0.0,0.0,2652.0,22411.0,122754.0,51564.0,4176.0,696.0,0.0
WULFRANC Hubert,0.0,76729.0,76729.0,76729.0,76729.0,76729.0,76729.0,40102.0,0.0,0.0,0.0
ZANNIER Hélène,0.0,0.0,22100.0,24276.0,27075.0,28642.0,27847.0,12097.0,0.0,0.0,0.0
ZULESI Jean-Marc,0.0,0.0,0.0,18464.0,28280.0,28280.0,36638.0,21373.0,0.0,0.0,0.0
ZUMKELLER Michel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
